"filename", "language", "C++", "CMake", "Swift", "XML", "JSON", "HTML", "Markdown", "Dart", "YAML", "Gradle", "Java Properties", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 22, 4, 32
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 6, 10, 74
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\google-services.json", "JSON", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 49
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 5, 29
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\firebase.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\haqim\Project\Flutter\postalhub_admin_cms\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
