Date : 2024-12-08 06:17:45
Directory : c:\Users\haqim\Project\Flutter\postalhub_admin_cms
Total : 88 files,  6950 codes, 351 comments, 666 blanks, all 7967 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |         32 |      4,832 |        116 |        305 |      5,253 |
| C++             |         16 |        575 |        127 |        188 |        890 |
| XML             |         11 |        479 |         53 |         12 |        544 |
| CMake           |          7 |        465 |          0 |         89 |        554 |
| JSON            |          6 |        338 |          0 |          5 |        343 |
| Gradle          |          3 |         96 |          8 |         18 |        122 |
| Swift           |          6 |         74 |          7 |         20 |        101 |
| YAML            |          2 |         51 |         25 |         13 |         89 |
| HTML            |          1 |         19 |         15 |          5 |         39 |
| Markdown        |          2 |         13 |          0 |          9 |         22 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |         88 |      6,950 |        351 |        666 |      7,967 |
| . (Files)                                                                                                             |          4 |        102 |         25 |         21 |        148 |
| android                                                                                                               |         14 |        228 |         59 |         29 |        316 |
| android (Files)                                                                                                       |          3 |         41 |          2 |          9 |         52 |
| android\app                                                                                                           |         10 |        182 |         57 |         19 |        258 |
| android\app (Files)                                                                                                   |          2 |        107 |          6 |         10 |        123 |
| android\app\src                                                                                                       |          8 |         75 |         51 |          9 |        135 |
| android\app\src\debug                                                                                                 |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                  |          6 |         66 |         43 |          7 |        116 |
| android\app\src\main (Files)                                                                                          |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                                              |          5 |         32 |         32 |          6 |         70 |
| android\app\src\main\res\drawable                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                            |          1 |          6 |          0 |          0 |          6 |
| android\app\src\main\res\values                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                               |          1 |          6 |          4 |          1 |         11 |
| android\gradle                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                   |          8 |        229 |          4 |         13 |        246 |
| ios\Runner                                                                                                            |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                    |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                       |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                            |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                         |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                       |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                 |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                   |         31 |      4,818 |        106 |        298 |      5,222 |
| lib (Files)                                                                                                           |          2 |         93 |         14 |          9 |        116 |
| lib\login_services                                                                                                    |          2 |        199 |          4 |         17 |        220 |
| lib\pages                                                                                                             |         24 |      4,229 |         85 |        258 |      4,572 |
| lib\pages\cms_settings                                                                                                |          9 |      1,167 |         22 |         59 |      1,248 |
| lib\pages\cms_settings (Files)                                                                                        |          1 |        112 |          4 |          8 |        124 |
| lib\pages\cms_settings\cms_settings_widget                                                                            |          5 |        557 |          5 |         20 |        582 |
| lib\pages\cms_settings\management                                                                                     |          3 |        498 |         13 |         31 |        542 |
| lib\pages\home                                                                                                        |          6 |        632 |         16 |         46 |        694 |
| lib\pages\home (Files)                                                                                                |          1 |        182 |          4 |          5 |        191 |
| lib\pages\home\analytics                                                                                              |          2 |        186 |          5 |         15 |        206 |
| lib\pages\home\carousel_services                                                                                      |          3 |        264 |          7 |         26 |        297 |
| lib\pages\loyalty_prog                                                                                                |          1 |        120 |          6 |         11 |        137 |
| lib\pages\notification_tester                                                                                         |          1 |         74 |          7 |         14 |         95 |
| lib\pages\out_for_delivery                                                                                            |          1 |         38 |          2 |          5 |         45 |
| lib\pages\parcel_inventory                                                                                            |          2 |        631 |         11 |         38 |        680 |
| lib\pages\parcel_management                                                                                           |          2 |        717 |         14 |         45 |        776 |
| lib\pages\parcel_management\check_in_parcel                                                                           |          1 |        360 |         12 |         20 |        392 |
| lib\pages\parcel_management\check_out_parcel                                                                          |          1 |        357 |          2 |         25 |        384 |
| lib\pages\search_inventory                                                                                            |          1 |        630 |          5 |         19 |        654 |
| lib\pages\search_user                                                                                                 |          1 |        220 |          2 |         21 |        243 |
| lib\src                                                                                                               |          3 |        297 |          3 |         14 |        314 |
| lib\src (Files)                                                                                                       |          2 |        116 |          3 |          6 |        125 |
| lib\src\navigator                                                                                                     |          1 |        181 |          0 |          8 |        189 |
| linux                                                                                                                 |          8 |        332 |         33 |         88 |        453 |
| linux (Files)                                                                                                         |          4 |        212 |         24 |         61 |        297 |
| linux\flutter                                                                                                         |          4 |        120 |          9 |         27 |        156 |
| macos                                                                                                                 |          6 |        466 |          5 |         16 |        487 |
| macos\Flutter                                                                                                         |          1 |         28 |          3 |          4 |         35 |
| macos\Runner                                                                                                          |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                  |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                     |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                          |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                       |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                               |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                  |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                   |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                               |         14 |        707 |         94 |        188 |        989 |
| windows (Files)                                                                                                       |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                       |          4 |        156 |          9 |         29 |        194 |
| windows\runner                                                                                                        |          9 |        462 |         85 |        139 |        686 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
